text,label
يعني ابقي في اسكندريه ومش قادر اروح الاستاد اتفرج علي الماتش   الكوره للجمهور منكم لله   يشعر بـالحزن,sadness
حازم. عبد العظيم. ؟؟؟؟؟!!! هل. هو. مصري ؟؟ هل ابوه. مصري ؟؟ هل امه مصريه ؟؟ هل جده مصري ؟؟ لا. اعتقد مظنش مش. ممكن مستحيل حازم عدو مصر!!!!!,surprise
اسفه بس فريق اللاجئين ده فكره سخيفه جداً   لان اجمل ما في الاوليمبياد ان كل لاعب بيشرف بلده مش نفسه  RefugeeOlympicTeam  RefugeeOlympicTeam,none
i think im just being stupid feeling nervous,fear
الف مبروكّ للريدز .. كلوب اثبت بشوط المدربين انه مدرب عبقري ذكي .. خلص علي الارسنال من بدايه الشوط بس .,joy
الشركه اللي مصممه ملابس الوفد المصري مزوده فرق تانيه كتير بالملابس في الاوليمبياد.. مش احنا بس زي ما البعض مصور,none
انا خايفه ادخل انام السيسي يتهور وحاجه تحصل جديده تفوتني,fear
مودي حبيبي الي مكانش بيروح تمرين السباحه عشان المياه ساقعه الصبح بيهاجم الي وصلوا الاوليمبياد عشان مجابوش ميديليات ولازم نسمعه طبعاً,none
i will review the film after this blog entry but for now as i have david sitting here in my garden feeling slightly smug after just discovering his film had been shortlisted for best film out of entries,joy
i can still feel my legs and they get so cold,anger
الاوليمبياد يا جماعه ✋,none
i always have been when im not feeling sociable extreme or the other,joy
الكويت موقوفه من اللعب في الاوليمبياد،علشان كدا لاعلم الكويت هيترفع ولا سلامها الوطني هيتعزف  فهد الديحاني,none
اللهم انصر المجاهدين المشتاقين الشهاده اللهم سدد رميهم ولله علي كل شيء قدير  الدوله الاسلاميه  الموصل  الرقه  اعماق  ايران  ترامب,sympathy
i take the offense that is most frightening to me when i am feeling the most vulnerable in close relationships with others and i draw that offense and all my frightful vulnerability into the love of god into the mercy seat that fills me full,fear
1  :   اهم شيء في الحياه ان نتعلم كيف نحب ، ونسمح للحب بدخول قلوبنا . الحب الذي يستمر للفتره الاطول هو الحب الذي لا يعود .  حكيم  غرد,love
ذكري الغزو العراقي الغاشم  اطماع شخصيه يظنها صاحبها هينه.  ويستغلها العدو لصالحه. .فلا الطامع نال مطامعه ولا الامه سلمت من شرورها.,sadness
الليالي غرتك..,sadness
انا والله خايفه احسب المواصلات افلس وانا بحسب 😂,fear
عندنا 12 ملعب من الل بتقوله دا .. وعندنا بلاييستيشن ودي مفاجاه الاوليمبياد عندنا وبس,surprise
: فلسطيني بعد لحظات من هدم الاحتلال الصهيوني لمنزله في غور الاردن، فلسطين,sadness
i feel honored to be witness to another s process,joy
i woke up feeling cranky this morning,anger
انا خايف حاسس ان السيسي ده ملبوس او عنده هلاوس وبيحتاج يسيل دم بني ادمين كل فتره بسبب او بدون,fear
احا مصر بقالها يومين بتكسب في الاوليمبياد ، انا متوغوش,surprise
i think all acts of unkindness are a result of some form of selfishness because being unkind requires a lack of concern for the another person and some distorted feeling of gain by being unkind,anger
i feel like we owe it to each other to be intelligent about our sexual decisions,joy
عَيْنَاكِ وحْدهُما هما شَرعيَّتي 💜✨🐰❄️ |  نسرين طافش  مسلسل شوق,love
i feel virtuous for a few seconds when i reflect that i did spend something when i went to the swimming pool working towards personal fitness yes,joy
طاب انا عندي مشكله تاني ان bein sport 9 اللي فيها متشات السد بتاعه الاوليمبياد مش شغاله,none
عرفتوا ليه العالم المعرصه دي خايفه من جمهورالاهلي وخايفه م المدرجات,fear
مش بتحس بمعني الحقيقي للكلمه اللي بتوجع💔 غير لما حد يدوسلك علي حاجه وجعاك 😢ولا حد يملس شيء من اللي تعبك ومداريه😒,sadness
i feel like a selfish bitch for feeling this way when countless impoverished people are suffering surely a hundred folds more than i am,anger
i feel amused when i hear my neighbour use the word muze instead of mujhe and hey kay becomes zay kay,joy
: بس انت قولتي غيره او انانيه او شك ???? مقولتيش خيانه يا فريده .. مقولتيش خيانه ???? ليه عملتي في كدا ????????,sadness
: الست بتقول للقاضي اشوفه يا بيه 3 ثواني ابني معملش حاجه . خدوا عليا اقرار  زل,sadness
والدها ووالدتها اتكلموا امبارح وقالوا اللي حصل بالتفصيل ربنا يصبرهم ويحفظ ابنهم ويعوضهم خير,sympathy
i feel guilt from inaction and spend much of my time helping and supporting others,joy
يومك.سعيد.باءذن.الله طيبه.القلب. ربنا.يجعل.في.وشك.جوهره.ولسانك.سكره,joy
i feel so honored to know all of you,joy
عندما تحب شخصاً من قلبك لا تتغير مشاعرك تجاهه حتي لو كثرت اخطاؤه !! لان العقل هو الذي يغضب اما القلب فيبقي مليئاً بالحب ❤,love
هما الفلات بقوا كتير كدا ليه ، مش ممكن يعني,surprise
i remember feeling very very violent and very disgusted the oscar winner tells access hollywood,anger
:  نجران الان اهداء لكل حوثي من نجران الحبيبه ✌🏻️ بالله استمتع فيها مع هطول الامطار ي نجسس 👎🏻,love
ليكن كلامك مع من حولك عنوانه دائماً الايجابيه والتفاؤل ..  واساسه محبه الخير للغير .. صبــــاح الـــ خير,joy
i get one i feel like i need to either even things out by immediately giving one back or make things even less even by using a comeback as if i was just insulted,anger
: الله هو الذي يمنح لنا احبائنا. لا يمكن ان يوجد من خلال نسيان الله. اولئك الذين فقدوا حبهم لِـ الله ليس لهم معني في…,love
i still feel fine but i can tell i am getting weaker,joy
اليس غريبا ان يكون الملح هو مايجعل لطعامنا مذاقا مقبولا !!!,surprise
i this feels rebellious to me,anger
اخويا الصغير واخد التليفزيون حِكر ومش عارفه اشوف الجمباز ف الاوليمبياد,none
صاحب مصالح جارح مايسديش و يشييل في الازمه ييجي في الوقت المالح و متحسيش انه له لزمه العيش و الملح اتباع و الكل صبح خدّاااع,anger
i was feeling fabulous until friday morning when i started to get these awful cramps at work,joy
i can not see friends and for the most part i feel like leaving my bedroom could be dangerous,anger
i feel bitter and just honkerblonked off in general,anger
i left feeling helpless and more than a little sad,fear
i feel but distressed is sufficient,fear
i feel like trusting the driver,joy
al2man   45   0990    منو دعس صدام ماقريت زين ????  لو ما امريكا العرب كلهم يرجفون خوفاً من صدام ????,anger
i don t know i feel confused,fear
كاعادِتٌك تٌصٍنْع منْ الُحٍروفَ كلُماتٌ غايَه فَيَ الُرؤعه,joy
منتخب الهوندوراس قوي ويجب الحذر منه ويكفي انه يشارك للمره الثالثه علي التوالي في الاوليمبياد وهو وصيف بطل الكونكاكاف المكسيك,none
i always feel afraid of telling people because i dont want them to see me differently my self image is very poor and i dont want to transcribe that onto them,fear
im not going to gush too much about the relationship but just know that im feeling very content these days,joy
هات كده الترددات بتاع القنوات اللي هتذيع الاوليمبياد,none
: رفيق السوء مثل البعوض لا تحسّ به الا بعد اللّسع.  .  مصطفي المنفلوطي,sadness
i sing the more confident i feel but i still get a little nervous on an opening night,fear
i do feel very successful right now,joy
: اللهم كن لاهلنا في سوريا اللهم رحماك بهم,sympathy
النظام الحاكم في ايران حاله حال الانظمه العربيه البائسه اصنام فالسلطه لاديمقراطيه لاحريه لاتقدم مال وثروات وشهوات وحروب المواطن مستثني..,anger
الاوليمبياد ده هايهيج ديك ابونا 😂 Rio2016,fear
AAK كان هو اللي بيواسيني والله وبيقولي مالك يا جدع هو ابوك اللي مات ولا ابويا مبضون كده ليه، فكك يعني. ربنا يصبرهم ويكون ف عونهم,sympathy
im blocked i could at least be doing something constructive my room needs a major cleaning for instance but i feel agitated if im not at least doing research for this story it does require a lot of research,anger
ميسي ولا اروع ❤️❤️❤️❤️ دمت رمزاً خالداً للبلوغرانا يا ليونيل ❤️,love
بس برضه كسم الاوليمبياد اللي اتعملت قصاد طرد الاف الفقرا من بيوتهم في البرازيل,anger
i want to be in the future years some of you made me feel amazing and some of you are the best friends i could ever ask for,joy
هو حد حس بان تويتر ماشي معانا بالعكس مع الحياه يعني اللي تلاقيه رغاي هنا وبيعرف ناس كتير تلاقيه فالواقع بيتكلم مع البياع بالعافيه,surprise
i generally only post on this site when im feeling completely overwhelmed and i need a space to vent about the perils of law school however lately ive been laughing my way to the law library like a kind of deranged film villian oh this is far too easy,fear
خايف يا ظريف تروح وتتملك وتعاشر الغير وتنساني انا ✋🏻🎧🎧,fear
1: دفاعكَ عنها و هي ’ عَلي خطا امامهُم محبه ; ’ عتابك لها بعد ذلك’ رُجوله رجوله ....  عمو,love
مالكم يا ولاد شايلين وحاطين علي بعثه الاوليمبياد ليه هو انتم كان عندكم امل يجيبوا دهب يعني...كتر خير الدنيا انهم وصلوا اصلا دول مصريين!,surprise
حماده طلعت ده يرجع من الاوليمبياد يعمل مقابله مع عمرو خالد عشان يتحجب و يقعد في البيت,none
:  المحقق الديني السيد الصرخي اين السيستاني من الخزعبلات والخرافات، والاساطير التي ما انزل الله بها من سلطان,anger
ماتقدر الا عن طريق النسخ الاحتياطيه غير كذا لو تفرفر,joy
i don t feel bitter about my lot nor do i wish any other mother s son was in my place,anger
فيه كام حبايه كده في الاوليمبياد لازم نعرف عناوينهم عشان نجيب لفه من خالد و ننول الرضا 😂,none
i don t feel particularly inspired,joy
لا جد خايفه اغرد واتفشل😂😂😂,fear
i say his name over and over and feel the change in him the nearly violent desire he reigns in with difficulty as the first waves of orgasmic stupor envelops me,anger
كثير بحس انو  نوال الزغبي مكتفيه بنجاحاتها اللي حققتن باواخر التسعينات حققت نجاح ساحق ماحققتو ايّ فنانه من بعدا لانو كانت وحدا خف وهجا هلق,love
i feel that i was innocent i did not want to hurt anyone,joy
الفشل عندما نقوول للناس كلمه فاشل هذا الفشل الحقيقي عمره ماكان احد فاشل بس نحطم الناس قبل الفشل الحقيقي انا  ضدالفشل  افشل مدرب مر علي ناديك,anger
خايف ترجع تلاقيني قلبي مبقاش بايديا,fear
كل حاجه من عند ربنا بتبقي خير ليك فمتزعلش ع حاجه حصلت وانت مش عاوزها ممكن ربنا يبعدها عنك بعدين خلي عندك امل ف ربنا الامل ف الناس,sadness
ربنا يسهل والاسكوش يدخل الاوليمبياد,none
نظبط مواعيد الاوليمبياد بقه ونشوف اللاعيبه المصريه هتلعب امته ونحبط كالعاده,none
ما بعرف ليش بس شوف بوسه بين ممثلين لبنانيين بمسلسل بفقع صوت ما بيفهم وبنجلط وبنصدم وبتفاجا... ليش؟ ما بعرف. ه  امير الليل,surprise
i feel nervous just walking outside,fear
امريكا معاهم 3 لاعيبه جامدين في الثلاثيات .. كلاي ودورانت وكايري وخط الثلاثيات في الاوليمبياد اقرب للسله كمان :D,none
i like feeling suspicious and paranoid about everyone around me including my cat spending way too much time on self loathing thoughts sinking into unwarranted and unnecessary depression and then feeling supremely guilty for acting like such a bitch,fear
i am feeling pretty shaky and sad,fear
i wanted it to feel special for all the guests that alise and jeremy chose,joy
مصر خدت ميداليتين في بعثه مصروف عليها 480 مليون يعني الميداليه واقفه ب 240 !! هما رفعوا الدعم عن الاوليمبياد ولا ايه !,surprise
شوف بطلات الاوليمبياد في السباحه هتلاقيهم في منتهي الرشاقه والاتوثه هي بتقوي العضلات في كل الجسم,none
im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there,anger
i have the feeling i am going to be tortured tonight,fear
im feeling very sarcastic today,anger
i feel more grounded and less fearful,fear
مش كان زماننا بنلعب ف الاوليمبياد دي بمنتخب انستجرام,none
قلوبنا معكم يااهل مصر ... ودمتي شامخه يامصر,sympathy
i even mentioned him was to show i want to trust you with my feelings hoping you would not think i was being rude mean coercive or pushy,anger
هناك من يريد توليع الاوضاع في قطاع غزه بتمرير الاخبار الكاذبه جماعه الرئيس محمود عباس…,anger
احنا مش ضد قطر تحديدًا! مافيش شيء في الدنيا يعيبها كدوله، احنا ضد اي دوله تعتمد علي التجنيس ف منافسه الاوليمبياد,sadness
انا من كتر الناس اللي بتكلمني علي مصر و الاسعار بقيت خايفه ارجع و الله ..,fear
صح حبيتي ربنا يهدي بس الناس خايفه الحياه بقت صعبه اوي برده حنان,fear
i wished i could feel more energetic and deal with less pain but it might be my best option,joy
i almost feel greedy for believing that i want so much,anger
ههههههه ربي يسعدك,joy
i hope you enjoy reading and please feel free to leave comments,joy
alswaiyd انشهد حرااااام اللي يصير بالنصر بسبب ابراهيم غالب كرامه النادي بالحضيض بسبب ابراهيم هزلت,sadness
متعاطف معكم ياهل الحلال ؛ الله يرزقكم ويسهل اموركم ،  نطالب بتخفيض سعر الشعير,sympathy
i feel combination slightly superior sitting in on virtual event you ll feel as if it s another day office,joy
لو تعطوني حبر قد البحر ؛ ما اوفي تشابي الونسو حقه .💜  عشششق .,love
ان الجمال كساك من ورق المحاسن ما كساك ونبت بين جوانحي والقلب من دمه سقاك,joy
حًزُيِن انتٍ يِا قلّبيِ مٌنذٍ زُمٌن طويِلّ والّجُمٌيِع يِسبب لّگٍ ،، الّالّمٌ ..,sadness
2014: يا ابطال  القطيف لا تهنوا ولا تحزنوا وانتم الاعلون نحن معكم وسنبقي ندافع عن مظلوميتكم حتي يمن الله علينا باحدي الحسنيين…,sympathy
احنا داخلين الاوليمبياد دي بالاسم وبس مش هناخد ميداليات ابدا. والحل الوحيد بعد كده اننا ناخد ميداليه الاسكواش يبقي لعبه اوليمبيه,sadness
i get involved into a tale of good versus evil i want to feel afraid of the dark to a certain extent,fear
الله يحفظهم يارب ..💚💛  الاطفال,sympathy
اه والله خايفه زيك😂😂😂,fear
دي لاعبه بتمثل مصر ف الاوليمبياد بتلعب رفع اثقال دلوقتي😊,none
كاظم الساهر  زيديني عشقاً زيديني  يا احلي نوبات جنوني  زيديني,joy
:   مرجع بهذه الجرئه الله اكبر ما اعظمه وما ارقاه كشف زيف السيستاني الماسوني ربيب الاحتلال ومنفذ مشاريعه فلله درك…,anger
الناس هتفضل تتكلم في موضوع  اسلام الشهابي دا لحد الاوليمبياد اللي جاي !,none
فجاه العموم علماء فلك 😂  القمر العملاق,surprise
ايه تراوري علي sky sports بتقول انهم هيكسبوا امريكا في الاوليمبياد  برشاااااااااااااااااااااااام,none
خايف ينفضح .مع قليل الادب !,fear
ماساه ابكت كل من شاهدها ياااارب رحماك باهل اليمن,sympathy
i was feeling a little like a cold was coming on,anger
قاعد في كافيه و لقيت سامو زين جنبي و بيشتم في تامر حسني و رامي عياش..  بيقول انا مش كومبارس ليهم ????????????,anger
i remember feeling nervous that i wasnt progressing so i was so thrilled,fear
جنود بريطانيون يرمون اوسمتهم امام مبني الحكومه لا يمكننا ان نجني السلام ونحن نقتل مدنيين بحجه  داعش وعلي  بريطانيا بالانسحاب من التحالف الدولي,sadness
قل لي متي ترسم علي قلبي جراح   منك الصبر ما قويته افقدتني ما احتويته,sadness
قول لصالح محبينك من صلاله ونحنا معكم وشدو الحيل  زد رصيدك24,sympathy
.. هو ارتياح قلب لـ وجود قلب ❤️,love
اتربينا ان لما مصر تتغلب في كل الالعاب وماتاخدش اي ميداليه في الاوليمبياد.. دا بيبقا اسمه تمثيل مشرف..!!  اشتغاله كبري,none
النهايات السعيده دائما تاتي في المشمش,sadness
i got an overall dark and uncomfortable feeling as we chose to stay until the end as not to disrupt or be rude,anger
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy
i feel like i am i the only one out there who is as angry as i am about suffering such loss about stupid cancer about unfairness about what is even though nothing about it is right,anger
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,fear
قرفو عيشتنا بعباره     الغرب ليسوا عباقره ونحن لسنا اغبياء....     علي السوشل ميديا علي صور احمد زويل ستايل جديد في الرثاء,anger
كينيا كتبت تاريخ جديد لها في الاوليمبياد. كسبت 10 ميداليات منهم 5 ذهب و5 فضه. العشره في العاب القوي.  Rio2016,none
i thinks this chiefs ccw should be yanked by the state as i feel threatened,fear
:  كان بكام وبقي بكام ايام السيسي المواطن بقي بياكل لحم حمير وقمح مسرطن وبيشرب ميه مجاري,anger
i feel very distraught tonight,fear
i feel jealous when i know he go out with other women,anger
روح الله يخيبك سلفنجي وهابي 100 نقطه مقابل لا شيء من اللاعب الاسرائيلي اوفير جندلمان في اول مشاركه له في الاوليمبياد ورفض مصافحته.......,none
sniper1: موقف بطولي للملازم صالح النعمان العنزي انطلق الي موقع الناقله كان بعيد فاتا بها وانقذ المصابين وهو مصاب بالشظايا ????????,joy
صوتها بيوهب قلبي حياه ♪♬,joy
والله راح نمحيها كانه يوصي الجيش العربي السوري قبل ما يستشهد ،كملوا المشوار وروحي معكم لحد انصر الله يرحم الشهداء…,sympathy
i hate even doing this because i feel like it s rude but i must say i love the blog it came from and this is no insult to the food photography because i enjoy it,anger
لكل محل مايحاسب الا بالكاش ، انتم تستهبلون؟ لا من جد تستهبلون؟ قدنا بنخلص 2016 وانتم لسي ماعندكم سحب بطاقه.! .,surprise
i feel like i shouldnt have even bothered,anger
الـــف مبرووووك,joy
الخبر ده اول ما قريته قعدت اعيط معرفش اثرو فيا كده لييه ..ربنا يصبرهم والله,sympathy
الناس سايبه الاوليمبياد وبيتكلموا عن الاهلي والزمالك 😂😂,none
هو مفيش حد ناوي يكسب بقه ف الاوليمبياد,none
انا كنت عايش ف اسكندريه واعرف ان بنت اسكندريه جريئه  ومن الاخر لبط  لكن واحده تتخطف وسط البشر .غريبه  فعلا.,fear
: روايه لوليتا من الاشياء اللي اثبتت لي ان تفكيري تغير 180 درجه.اول ماقراتها قبل اكثر من 3 سنوات كنت متعاطفه حرفياً مع همبرت…,sympathy
ايوه طبعا عايزه الصين هي اللي تكسب الاوليمبياد مش امريكا ....,none
! الجزائرين ضيعوا التعادل,surprise
: 10الف هندي عاطل ومظاهرات لعمال شركه سعودي اوجيه بدون راتب والان اجلاء 6الف فلبيني السعوديه تنتقم من نفسها,anger
قائد شجاع قائد عظيم جنن جنود ال سعود  حفظه الله وايده ومن معه بنصره,love
i feel lucky to the point of feeling guilty about having got away without more serious damage and disability,joy
في الاوليمبياد مع نيجيريا,none
سيبنا الاوليمبياد وماسكين في علم السعوديه ناس تافهه ومغيبه,sadness
كاظم الساهر  نواره عمري مروحتي  قنديلي    بوح بساتيني  مدي لي جسراً من رائحه الليمون,joy
i last saw him and already im feeling this agitated,anger
الواحد قرب يحفظ النشيد الوطني الامريكي من كتر ما بيسمعه في الاوليمبياد !,surprise
: جنرال ايراني     طائفي    .. يقود ميليشيات عراقيه     طائفيه    .. من اجل اقتحام الموصل لتدميرها وقتل وتشريد الابرياء  .. فلماذا تت…,anger
i feel like i m a very very dangerous human being right now,anger
i am so feeling so rich and yup i know i am so blessed,joy
i put up my christmas tree and im feeling fairly festive,joy
i already feel like im being tortured by not having any,fear
i feel paranoid when i wear makeup out,fear
alsenjary يارب الطف بيهم وفرج همهم,sympathy
i say that to myself when i am unsure or feeling insecure about what others think of me,fear
لا طلعنا من الاوليمبياد النهارده بعد الهزيمه من المانيا بطيخ رسمي بعد ما ضيعنا مباراه البرازيل بهبل,sadness
هي ايه مشكله الكويت في الاوليمبياد,none
عارفين ليه ماحققناش اي ميداليه دهب في الاوليمبياد؟؟ علشان اللاعيبه خافوا يتقالهم اتبرعوا بيه زي حلق الحاجه زينب 󾌴,none
يــــــارَب لا تحــرم اي زوجُــيــــن مـــن نــعْــمـــه  الاطفال,sympathy
ريم منصور اللي ضربت السهم بره اللوحه ومجاش في الجمهور طلعت بنت اللواء منصور سعيد وكان مطلعها الاوليمبياد تفك عن نفسها !  مصر رقم واحد في,surprise
i want to find my essence and my substance and not feel so scared and empty and dispersed fragmented etc,fear
روح ذاكر يا وييييييسخ : D,anger
لو كانت الحياه ملكي..  لامرتها ان تبقيك قربي.. ولو كان  القدر بيدي لجعلت.. قدرك قدري ولكن  الحمد لمن جعل بيدي كي..  ابقيك حبي الابدي,love
رجعوا حماده انت كدا روش يعني و بتظهر حبك العظيم للدوله؟ و بالنسبه للاخوه السعوديين لو لاعب سعودي رفع علم دوله تانيه في الاوليمبياد عادي؟,surprise
كان الله في عونهم  النازحون اخواننا,sympathy
كنت بهرب من الدنيا و اجيلك .. بس  دلوقتي الوجع منك :) اهرب  لميـن :(,sadness
i know in advance then i am fine with it but if i make plans and they change or fall through i end up not knowing what to do with myself and feeling very restless and angsty,fear
تاخير مكافاه كليه التقنيه حرام عليكم ????,anger
بيحرقني قلبي اصبحت خائفه ان اكسر قلب قد اصابه ما يكفي من الالم اخاف ان اكون سبباً جديد لوجع او حزن لن اتحمل ان اري الالم بعين من احببته,fear
لا لا لا لا ما اصدق !!,surprise
احلي مسا علي عيونك يا زنن .عندي دي,joy
32: الله يوفقهم ويسدد خطاهم وينصرهم 🙏❤️  شكرا ابطال الدفاع الجوي,sympathy
رايك يحترم ياغالي الاهلي يفرق عن الاتفاق في كثير من الامور والكفه تميل لصالحه مع كل الحب والتقدير لفارس الدهناء,love
افتتاح الاوليمبياد علي اي قناه؟ حد يعرف؟,none
كلمه توصف فيها دوله قطر  عملاء امريكا واسرائيل لعن الله ملكها وموزته هههه حسبي الله ونعم الوكيل  سبب الكتير من الفتن,anger
i must say that there were all familiar faces since i go to that church since but there was this feeling that i was shy and i just wanted to stay there with my friend and be clingy with her all through out the meeting,fear
i feel really greedy but i like hogging him,anger
طريقك مسدود مسدود يا ولدي  *بصوت سعيد صالح*,sadness
i didnt feel that there were enough strong smart and funny female main characters in fiction and since thats what i imagine myself to be i started writing,joy
: لا احد يستطيع منع نازح من الخروج، بعد زوال سيف داعش عن رقبته، الناس خائفه مربكه متعبه من صور الموت.  معركه الموصل,fear
قلوبنا معكم يا اهل مصر,sympathy
193: الطفل؛ يحتاج الي حضن يضمه يحتاج الي عطف وحنان ورحمه من يعطيه اياه سيملك قلبه ان الام ليست ام ان لم تعطيه اياه.,sympathy
i was feeling hopeful around the time i took it,joy
حجازي طويل اوي ايههه داااا,surprise
يَا ساكِنينَ بِقَلْبِي  مَتَي اَفُوزُ بِقُرْبِ سَلَبَتُمُونِي وَلَكِنْ  اَنَا السَّعِيدُ بِسَلْبِي,love
i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,anger
اخيرا لقيت ماتش تايكوندو في الاوليمبياد دي 😍,joy
i feel like i smell pretty after i use it,joy
i feel so tortured,anger
والقلبُ متلهّفٌ؛ لنعيمٍ سرمدي❤️,love
i felt good and feel fine today too,joy
i mean as a group thing it felt good to get in there and add something relevant for us but im still not really feeling delicious as a tool for me,joy
ينبض بحبك فؤادي ... الله مكبر غلاك صباحكم حب يتدفق من قلوبكم الدافئه...  اليمن,love
8   kuniv امتحان ارض وكون لفوزيه الرويح طبيعي 7 صفحات ؟! كلها اشرح و اكتب و و و و .... ؟!,surprise
i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,joy
the patient whom i expected to get well suddenly passed away after he showed had his meals,anger
i feel hateful of myself for being alone,anger
salyy: ظلمتني كثير ... فكان من المنصف ان اظلمك بفراقي ... كان علي ان اهجرك لتُدرك قيمتي في حياتك ..,sadness
i feel like reading anansi boys again its gorgeous,joy
shipl19     مبروك اضرب ف تمانيه بس مسعد العلق طلع ????,joy
مو بس احبك ..انا والله من حبّك احب حتي ثري الارض اللي تاطاها ❤️ طلال الرشيد  وفاء  شاعر  شعر  شطر  بيت  بوح  اقتباس,love
i feel the love and i thank you for it pagetitle popular news abc news u,joy
حلمت حلم يخوف من كثر مايخوف خايفه اقوم من سريري واروح الحمام خير😭😭😭💔.,fear
i feel frustrated or impatient,anger
انا فضلت متمسمره :  للدرجه دي انا مبحسش اساله طلعت في راسي وطفيت الاغاني وبعدين قولت طب وانا هعمل ايه وشغلت الاغاني تاني :,sadness
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger
: وعلي ضوءِ القمر ! يراقصُ العشَاق بعضهم ، وانا لازلتُ بانتظاركَ واعلمُ بانكَ لن تعود ♬ .  جروح  خواطر  بقلمي  قصه  خيال…,love
i feel bitter but i want to rise up,anger
Rio2016 بحب اتفرج في الاوليمبياد علي العاب القوي والسباحه ورفع الاثقال,none
: ايها الابطال ..وانتم تقاتلون وحوش الارض الدواعش.. نقبل رؤسكم التي اعلت كل راس  رساله لجندي عراقي,sympathy
i feel confused too,fear
i are gay and feel assaulted by the right wing,fear
احمد الاحمر السبب وكل الناس بتفهم في الجودو وكله بيفهم في كل حاجه وكل الناس بتتفرج وتتابع الاوليمبياد من ايام زولا,none
